Date,open,high,low,close,adjclose,volume,ingested_at_utc
2019-01-02,39400.0,39400.0,38550.0,38750.0,32363.7890625,7847664,2026-03-03 06:42:12.159634+00:00
2019-01-03,38300.0,38550.0,37450.0,37600.0,31403.322265625,12471493,2026-03-03 06:42:12.159634+00:00
2019-01-04,37450.0,37600.0,36850.0,37450.0,31278.0390625,14108958,2026-03-03 06:42:12.159634+00:00
2019-01-07,38000.0,38900.0,37800.0,38750.0,32363.7890625,12748997,2026-03-03 06:42:12.159634+00:00
2019-01-08,38000.0,39200.0,37950.0,38100.0,31820.927734375,12756554,2026-03-03 06:42:12.159634+00:00
2019-01-09,38650.0,39600.0,38300.0,39600.0,33073.703125,17452708,2026-03-03 06:42:12.159634+00:00
2019-01-10,40000.0,40150.0,39600.0,39800.0,33240.734375,14731699,2026-03-03 06:42:12.159634+00:00
2019-01-11,40350.0,40550.0,39950.0,40500.0,33825.37890625,11661063,2026-03-03 06:42:12.159634+00:00
2019-01-14,40450.0,40700.0,39850.0,40050.0,33449.546875,11984996,2026-03-03 06:42:12.159634+00:00
2019-01-15,40050.0,41100.0,39850.0,41100.0,34326.49609375,11492756,2026-03-03 06:42:12.159634+00:00
2019-01-16,41150.0,41450.0,40700.0,41450.0,34618.83203125,8491595,2026-03-03 06:42:12.159634+00:00
2019-01-17,41700.0,42100.0,41450.0,41950.0,35036.4140625,11736903,2026-03-03 06:42:12.159634+00:00
2019-01-18,42000.0,42400.0,41950.0,42300.0,35328.7421875,11029256,2026-03-03 06:42:12.159634+00:00
2019-01-21,42700.0,42750.0,41900.0,42750.0,35704.5703125,11355701,2026-03-03 06:42:12.159634+00:00
2019-01-22,42750.0,42850.0,41850.0,42150.0,35203.453125,9964356,2026-03-03 06:42:12.159634+00:00
2019-01-23,41350.0,42250.0,41350.0,42000.0,35078.1796875,11071079,2026-03-03 06:42:12.159634+00:00
2019-01-24,43050.0,43100.0,42350.0,43050.0,35955.1171875,14747623,2026-03-03 06:42:12.159634+00:00
2019-01-25,44300.0,44750.0,43750.0,44750.0,37374.96484375,22789395,2026-03-03 06:42:12.159634+00:00
2019-01-28,45000.0,45500.0,44600.0,45050.0,37625.53125,17998914,2026-03-03 06:42:12.159634+00:00
2019-01-29,45050.0,45500.0,44350.0,45500.0,38001.35546875,16215017,2026-03-03 06:42:12.159634+00:00
2019-01-30,44800.0,46400.0,44800.0,46400.0,38753.04296875,17505980,2026-03-03 06:42:12.159634+00:00
2019-01-31,46650.0,47050.0,46150.0,46150.0,38544.24609375,21621145,2026-03-03 06:42:12.159634+00:00
2019-02-01,46650.0,46950.0,46250.0,46350.0,38711.27734375,13832454,2026-03-03 06:42:12.159634+00:00
2019-02-07,46800.0,47100.0,46200.0,46200.0,38585.99609375,15872001,2026-03-03 06:42:12.159634+00:00
2019-02-08,45700.0,45700.0,44650.0,44800.0,37416.71875,12689196,2026-03-03 06:42:12.159634+00:00
2019-02-11,44500.0,45000.0,44250.0,45000.0,37583.765625,11125044,2026-03-03 06:42:12.159634+00:00
2019-02-12,44650.0,46250.0,44650.0,46050.0,38460.72265625,13184367,2026-03-03 06:42:12.159634+00:00
2019-02-13,46400.0,46700.0,46000.0,46200.0,38585.99609375,11299738,2026-03-03 06:42:12.159634+00:00
2019-02-14,46600.0,47500.0,46150.0,47500.0,39671.75,17259341,2026-03-03 06:42:12.159634+00:00
2019-02-15,46750.0,46850.0,45650.0,46050.0,38460.72265625,10554643,2026-03-03 06:42:12.159634+00:00
2019-02-18,46500.0,46850.0,45850.0,46200.0,38585.99609375,8183728,2026-03-03 06:42:12.159634+00:00
2019-02-19,45850.0,46150.0,45450.0,45950.0,38377.19140625,6741395,2026-03-03 06:42:12.159634+00:00
2019-02-20,46750.0,47100.0,46500.0,46900.0,39170.62890625,11506720,2026-03-03 06:42:12.159634+00:00
2019-02-21,46500.0,47200.0,46200.0,46950.0,39212.390625,8694009,2026-03-03 06:42:12.159634+00:00
2019-02-22,46500.0,47150.0,46450.0,47150.0,39379.421875,6895772,2026-03-03 06:42:12.159634+00:00
2019-02-25,47400.0,47550.0,47050.0,47350.0,39546.46484375,7484716,2026-03-03 06:42:12.159634+00:00
2019-02-26,47350.0,47450.0,46500.0,46750.0,39045.34375,7985547,2026-03-03 06:42:12.159634+00:00
2019-02-27,47000.0,47250.0,46750.0,46750.0,39045.34375,8045211,2026-03-03 06:42:12.159634+00:00
2019-02-28,46400.0,46500.0,45100.0,45100.0,37667.2734375,23569321,2026-03-03 06:42:12.159634+00:00
2019-03-04,46000.0,46100.0,44800.0,44850.0,37458.484375,12926539,2026-03-03 06:42:12.159634+00:00
2019-03-05,44600.0,45100.0,44150.0,44250.0,36957.3671875,10612405,2026-03-03 06:42:12.159634+00:00
2019-03-06,44000.0,44300.0,43700.0,44000.0,36748.56640625,10202544,2026-03-03 06:42:12.159634+00:00
2019-03-07,43400.0,44950.0,43400.0,44450.0,37124.41015625,11049749,2026-03-03 06:42:12.159634+00:00
2019-03-08,44450.0,44800.0,43800.0,43800.0,36581.5234375,7729069,2026-03-03 06:42:12.159634+00:00
2019-03-11,44400.0,44450.0,43650.0,43650.0,36456.24609375,10717408,2026-03-03 06:42:12.159634+00:00
2019-03-12,44300.0,44950.0,44150.0,44650.0,37291.44921875,11431977,2026-03-03 06:42:12.159634+00:00
2019-03-13,44250.0,44450.0,43700.0,43850.0,36623.28515625,8108343,2026-03-03 06:42:12.159634+00:00
2019-03-14,43700.0,44300.0,43550.0,43850.0,36623.28515625,18039161,2026-03-03 06:42:12.159634+00:00
2019-03-15,43800.0,44250.0,43700.0,44200.0,36915.60546875,16814163,2026-03-03 06:42:12.159634+00:00
2019-03-18,43950.0,44150.0,43450.0,43700.0,36498.0,8188876,2026-03-03 06:42:12.159634+00:00
2019-03-19,43750.0,43900.0,43550.0,43900.0,36665.04296875,7609563,2026-03-03 06:42:12.159634+00:00
2019-03-20,43800.0,44200.0,43100.0,44050.0,36790.32421875,9846242,2026-03-03 06:42:12.159634+00:00
2019-03-21,44600.0,46250.0,44050.0,45850.0,38293.67578125,21138016,2026-03-03 06:42:12.159634+00:00
2019-03-22,46850.0,47000.0,46250.0,46550.0,38878.3125,12535911,2026-03-03 06:42:12.159634+00:00
2019-03-25,45300.0,45650.0,44800.0,45500.0,38001.35546875,8699728,2026-03-03 06:42:12.159634+00:00
2019-03-26,45500.0,45700.0,44900.0,45250.0,37792.5625,9729811,2026-03-03 06:42:12.159634+00:00
2019-03-27,44750.0,45600.0,44250.0,45350.0,37876.078125,9568081,2026-03-03 06:42:12.159634+00:00
2019-03-28,44950.0,45200.0,44300.0,44850.0,37753.17578125,6821306,2026-03-03 06:42:12.159634+00:00
